	32.06_2.04	31.16_2.04	14.07_2.1	30.11_2.08	29.09_2.1	13.1_2.13	12.09_2.15	32.08_3.05	30.13_3.06	10.98_3.09	16.03_3.08	27.08_3.09	29.1_3.1	25.12_3.09	12.11_3.14	26.14_3.12	31.15_3.12	13.09_3.11	14.06_3.14	15.06_3.14	28.08_3.15	32.09_4.06	11.0_4.08	30.14_4.09	27.06_4.08	13.08_4.12	9.97_4.1	12.1_4.16	16.01_4.1	29.13_4.11	31.16_4.1	25.13_4.11	26.16_4.11	9.05_4.12	14.06_4.13	15.09_4.13	28.07_4.12	10.99_5.05	32.09_5.07	9.97_5.08	16.02_5.08	29.11_5.09	30.11_5.09	8.02_5.1	15.09_5.1	9.07_5.1	27.07_5.1	31.17_5.1	13.09_5.13	14.04_5.12	12.11_5.14	25.15_5.12	7.0_5.14	28.08_5.14	10.97_6.05	32.09_6.05	27.09_6.05	30.15_6.08	31.17_6.1	8.02_6.08	10.01_6.08	24.2_6.09	12.1_6.12	9.08_6.09	28.07_6.09	14.06_6.11	13.07_6.11	25.14_6.11	26.16_6.11	15.14_6.12	7.02_6.12	15.99_6.13	32.09_7.04	11.04_7.05	8.0_7.04	12.15_7.09	16.05_7.05	9.97_7.06	27.08_7.06	7.0_7.06	9.08_7.07	26.17_7.07	31.18_7.07	13.1_7.07	30.16_7.08	5.98_7.08	24.16_7.09	14.06_7.08	15.1_7.08	28.07_7.09	25.15_7.11	29.08_7.18	14.05_8.0	11.01_8.0	7.01_8.03	8.0_8.02	30.11_8.02	9.08_8.02	9.98_8.04	16.04_8.03	5.96_8.03	27.1_8.04	24.17_8.08	32.11_8.06	13.11_8.05	31.19_8.06	28.09_8.07	12.15_8.09	25.14_8.08	26.17_8.09	29.12_8.1	32.1_9.0	11.0_9.02	30.12_9.0	16.02_9.03	9.06_9.03	8.03_9.03	27.11_9.03	29.12_9.03	13.1_9.05	14.08_9.05	12.14_9.07	31.18_9.05	15.12_9.06	9.99_9.06	5.98_9.07	7.01_9.07	28.12_9.07	26.17_9.11	10.99_9.96	6.02_9.97	30.12_10.0	27.11_10.0	29.14_10.0	9.97_10.02	15.1_10.06	8.03_10.02	9.08_10.02	28.1_10.04	7.01_10.04	12.12_10.09	13.13_10.06	14.09_10.08	9.98_11.01	7.02_11.02	8.04_11.01	9.08_11.02	13.12_11.03	12.16_11.06	11.0_11.96	9.99_11.97	9.08_11.99	12.16_20.03	11.02_20.94	13.14_20.97	10.01_20.97	12.15_21.01	14.1_20.99	15.14_21.03	11.06_21.92	9.98_21.95	13.13_21.97	12.16_22.0	14.12_21.98	15.13_21.99	11.04_22.94	10.02_22.94	12.19_22.99	15.15_22.97	14.13_22.97	9.1_22.96	13.15_22.98	6.05_22.98	8.1_23.01	11.06_23.88	10.01_23.94	30.17_23.94	31.21_23.95	9.11_23.96	8.06_23.96	29.16_23.97	6.03_23.97	13.16_23.98	7.05_23.98	12.19_24.01	14.1_24.0	15.15_24.01	32.12_24.88	12.21_24.95	11.0_24.92	31.24_24.92	10.04_24.93	30.18_24.93	8.05_24.95	29.18_24.96	9.07_24.96	14.08_24.98	28.15_24.98	13.16_24.98	15.17_25.01	6.03_25.0	7.06_25.02	11.04_25.92	32.13_25.9	15.16_25.94	27.09_25.92	10.0_25.93	30.17_25.92	9.11_25.94	5.02_25.95	31.19_25.95	14.12_25.97	13.16_25.97	26.22_25.97	29.18_25.97	6.03_25.99	12.16_26.0	8.06_26.0	28.14_25.99	25.19_25.99	7.07_26.01	10.04_26.91	9.12_26.94	11.04_26.93	30.14_26.9	27.14_26.92	24.22_26.95	29.17_26.92	32.12_26.94	8.05_26.95	31.24_26.95	13.17_26.97	15.13_26.98	5.03_26.97	26.2_26.96	28.15_26.96	25.16_26.97	6.03_26.99	12.18_27.01	14.1_26.99	7.05_27.0	30.18_27.88	11.07_27.9	32.13_27.89	10.0_27.92	8.08_27.93	29.15_27.93	26.19_27.96	24.2_27.95	28.14_27.95	27.14_27.94	31.22_27.95	9.11_27.95	14.11_27.96	12.17_27.99	25.15_27.97	6.02_27.97	13.15_27.97	7.04_27.99	11.05_28.9	32.13_28.88	24.21_28.96	27.12_28.9	30.19_28.93	31.22_28.92	10.0_28.93	28.13_28.94	9.11_28.95	26.21_28.95	8.09_28.95	25.19_28.97	29.21_29.0	7.06_28.98	32.13_29.88	10.05_29.92	9.11_29.94	30.18_29.92	31.22_29.93	8.06_29.94	27.12_29.92	24.22_29.95	26.2_29.94	28.16_29.99	25.17_29.95	29.14_29.99	27.13_30.89	32.14_30.89	30.2_30.91	29.18_30.93	24.2_30.96	25.18_30.96	26.2_30.95	28.13_30.95	31.2_30.97	26.19_31.94	27.15_31.92	29.17_31.92	30.18_31.91	31.23_31.94	25.19_31.94	28.15_31.94	27.14_32.93	25.19_32.94	26.24_32.94	28.16_33.01
Vent_Med_White	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vent_Horn	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vent_Lat_White	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med_Grey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Dors_Horn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0
Dors_Edge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Med_Lat_White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Vent_Edge	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dors_Med_White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cent_Can	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
