	27.01_2.03	26.09_2.03	10.94_2.05	9.94_2.04	23.11_2.08	28.02_2.06	7.97_2.07	25.07_2.07	24.09_2.07	6.96_2.09	9.02_2.09	12.09_2.12	22.02_3.05	9.94_3.04	21.0_3.04	20.08_3.07	24.08_3.07	23.1_3.08	27.03_3.08	10.95_3.08	5.93_3.09	26.09_3.08	28.03_3.09	6.96_3.1	25.06_3.1	7.97_3.1	12.06_3.13	9.01_3.13	20.99_4.05	10.97_4.1	9.94_4.06	19.02_4.06	20.05_4.08	22.01_4.09	23.1_4.09	26.09_4.09	9.01_4.09	24.07_4.1	27.02_4.09	28.02_4.09	7.97_4.1	12.05_4.13	25.06_4.11	5.93_4.11	6.95_4.11	20.97_5.05	10.97_5.05	22.03_5.06	23.11_5.1	9.93_5.07	19.06_5.08	25.06_5.1	7.98_5.08	9.02_5.09	20.06_5.08	6.98_5.09	24.07_5.1	12.07_5.13	27.01_5.11	28.02_5.12	5.92_5.12	20.97_6.03	22.03_6.05	18.01_6.07	10.95_6.05	28.05_6.05	20.08_6.07	4.94_6.06	8.0_6.06	19.04_6.07	23.11_6.09	27.04_6.07	26.1_6.08	9.94_6.09	24.11_6.09	4.01_6.09	2.03_6.09	6.97_6.1	12.07_6.12	2.98_6.11	25.07_6.12	5.94_6.11	9.06_6.13	22.0_7.03	7.99_7.03	9.94_7.03	10.95_7.05	20.07_7.05	20.96_7.05	6.96_7.06	19.03_7.06	9.02_7.06	26.11_7.07	2.0_7.07	23.14_7.09	25.07_7.09	4.95_7.07	24.08_7.08	18.03_7.08	27.05_7.09	28.03_7.08	2.99_7.1	5.94_7.1	12.1_7.1	4.02_7.1	21.01_8.02	10.98_8.03	7.98_8.02	9.96_8.03	20.07_8.03	22.01_8.04	26.09_8.03	18.04_8.03	6.96_8.04	19.01_8.04	12.07_8.07	4.95_8.05	5.95_8.06	27.03_8.05	28.04_8.06	23.13_8.07	9.04_8.05	24.09_8.07	2.01_8.08	4.03_8.07	25.08_8.08	2.99_8.09	20.05_9.01	20.96_9.0	22.0_9.01	10.95_9.04	27.08_9.04	7.95_9.04	6.96_9.05	9.02_9.05	19.03_9.05	23.14_9.08	25.07_9.05	4.95_9.06	26.09_9.06	9.94_9.07	24.1_9.07	4.01_9.07	5.9_9.08	2.96_9.1	22.0_10.02	20.07_10.02	21.0_10.03	4.93_10.02	23.13_10.05	7.99_10.04	24.08_10.05	6.96_10.05	4.01_10.06	5.93_10.06	22.04_10.96	20.96_11.03	23.12_11.05	4.93_11.04	5.95_11.07	6.97_11.11	9.93_19.02	8.0_19.06	9.03_19.06	6.96_19.06	5.91_19.08	9.95_20.03	4.97_20.04	7.99_20.05	6.95_20.07	9.01_20.1	5.93_20.1	4.01_20.1	2.99_20.12	27.01_21.04	4.94_21.04	10.0_21.04	26.09_21.04	7.99_21.05	28.02_21.05	9.03_21.06	25.1_21.08	3.99_21.07	6.98_21.06	24.11_21.08	3.0_21.11	2.03_21.09	5.94_21.09	9.92_22.01	26.12_22.05	9.04_22.04	29.06_22.04	2.02_22.05	7.99_22.06	4.96_22.06	27.03_22.04	6.97_22.07	23.12_22.09	2.98_22.09	4.0_22.09	28.03_22.07	25.06_22.08	5.95_22.1	9.94_23.03	10.96_23.04	22.01_23.03	26.1_23.02	29.07_23.03	8.0_23.06	27.04_23.06	28.03_23.06	4.94_23.06	9.04_23.06	24.11_23.06	4.01_23.07	23.12_23.08	25.07_23.07	6.98_23.08	2.02_23.1	5.95_23.1	2.98_23.11	20.1_24.03	9.96_24.02	22.02_24.04	21.01_24.04	6.98_24.06	27.05_24.04	29.07_24.05	26.09_24.05	4.96_24.07	9.02_24.07	28.02_24.07	2.01_24.08	24.1_24.08	4.01_24.08	23.14_24.1	25.08_24.08	3.0_24.1	5.95_24.11	8.0_24.13	26.1_25.04	21.0_25.02	9.94_25.03	29.07_25.05	22.0_25.06	7.98_25.05	9.02_25.06	23.14_25.08	6.99_25.07	27.03_25.07	20.07_25.08	25.07_25.08	28.03_25.07	2.01_25.09	24.1_25.08	3.99_25.09	3.0_25.11	5.94_25.11	5.05_25.12	21.01_26.03	20.06_26.04	21.98_26.04	7.98_26.05	9.97_26.07	6.98_26.06	29.07_26.06	4.97_26.07	2.99_26.07	24.09_26.07	9.04_26.08	26.11_26.08	23.13_26.09	2.03_26.1	4.02_26.1	25.1_26.09	28.04_26.11	27.04_26.16	6.0_26.17	8.0_27.04	21.99_27.03	21.03_27.05	20.07_27.06	26.11_27.04	29.06_27.06	23.1_27.09	27.02_27.06	28.03_27.07	5.0_27.09	6.96_27.09	24.09_27.09	3.0_27.13	2.01_27.12	5.92_27.12	25.05_27.1	4.0_27.12	20.96_28.02	22.01_28.03	29.04_28.02	20.07_28.05	26.08_28.08	23.11_28.07	27.04_28.06	28.02_28.07	24.1_28.07	4.93_28.07	2.99_28.1	4.02_28.11	25.07_28.1	22.02_29.06	26.09_29.06	24.09_29.07	20.07_29.07	27.05_29.08	23.13_29.11	25.06_29.1	20.99_29.1	20.98_30.01	22.0_30.05	23.12_30.09	24.1_30.09	25.08_30.11	23.11_31.09
Vent_Med_White	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vent_Horn	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vent_Lat_White	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med_Grey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dors_Horn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0
Dors_Edge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Med_Lat_White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
Vent_Edge	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dors_Med_White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0
Cent_Can	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
