	21.95_2.02	9.02_2.03	20.01_2.04	20.92_2.04	25.99_2.04	7.96_2.04	6.96_2.06	18.96_2.05	24.08_2.09	5.96_2.1	23.02_2.12	21.97_3.04	19.99_3.04	9.02_3.05	25.97_3.07	24.02_3.06	18.97_3.05	6.96_3.07	7.96_3.08	20.96_3.1	23.03_3.11	5.93_3.12	20.01_4.02	21.96_4.03	9.0_4.03	20.92_4.06	17.99_4.08	7.95_4.08	25.96_4.07	18.97_4.08	22.99_4.09	24.98_4.09	24.03_4.11	6.97_4.11	5.93_4.11	21.94_5.01	20.03_5.04	18.97_5.06	17.96_5.06	7.99_5.06	20.89_5.07	6.95_5.07	5.95_5.08	26.98_5.09	24.98_5.09	25.97_5.09	16.95_5.1	24.02_5.13	23.02_5.13	19.94_6.06	21.98_6.03	8.0_6.02	9.04_6.04	16.93_6.07	4.98_6.05	6.95_6.06	3.99_6.09	18.99_6.06	23.01_6.08	24.0_6.07	20.95_6.07	17.96_6.07	24.98_6.08	25.99_6.08	2.98_6.09	5.92_6.07	26.99_6.08	2.05_6.11	21.96_6.97	9.01_6.99	20.03_6.98	17.97_7.01	5.0_7.02	18.99_7.01	16.96_7.01	26.0_7.02	20.96_7.02	6.97_7.03	5.96_7.03	23.04_7.03	7.98_7.04	24.06_7.03	24.99_7.04	2.05_7.08	3.98_7.07	2.93_7.08	20.0_7.95	21.92_7.96	20.94_7.99	16.97_7.99	17.99_8.02	25.99_8.01	6.93_8.0	18.97_8.01	25.0_8.01	5.99_8.01	24.04_8.03	4.03_8.03	23.1_8.08	4.92_8.08	21.97_8.94	7.98_8.97	20.03_8.98	6.99_8.99	18.01_8.99	20.94_8.99	24.05_9.02	23.06_9.05	21.99_9.97	20.98_9.98	23.06_10.02	9.1_22.98	11.0_22.98	5.02_23.0	5.98_23.0	7.04_23.01	8.03_23.02	12.09_23.07	10.99_23.98	9.06_23.99	9.99_24.01	13.09_24.02	8.02_24.02	5.03_24.05	7.03_24.04	6.02_24.05	12.07_24.1	10.98_24.93	7.04_24.98	9.07_24.98	9.98_24.98	5.03_24.99	8.04_24.99	5.99_25.0	14.04_25.01	12.09_25.04	13.06_25.02	11.01_25.94	9.08_25.95	9.99_25.99	8.05_26.0	13.12_26.01	7.03_26.02	5.04_26.02	14.03_26.02	6.02_26.02	12.08_26.04	11.03_26.97	9.08_26.98	10.04_27.01	8.02_27.01	6.02_27.02	5.05_27.02	7.02_27.01	14.06_27.03	12.09_27.05	13.09_27.06	22.03_27.96	11.03_27.97	9.07_27.98	8.02_27.99	7.02_27.99	24.06_28.04	10.02_28.01	13.07_28.01	5.04_28.02	6.03_28.02	14.05_28.03	12.08_28.05	11.03_28.96	22.05_28.97	5.05_28.97	9.09_28.98	13.08_29.02	9.99_28.99	28.06_29.01	7.04_29.01	26.04_29.0	25.06_29.03	8.03_29.03	14.03_29.03	6.02_29.03	21.02_29.05	23.09_29.05	24.09_29.07	12.1_29.07	11.03_29.96	7.04_29.99	22.04_29.97	10.01_29.97	9.06_29.99	27.06_29.99	12.07_30.03	8.05_30.02	13.09_30.04	6.04_30.04	21.02_30.03	24.09_30.04	5.03_30.04	26.05_30.03	25.06_30.03	23.1_30.05	22.05_30.97	11.04_30.98	26.06_31.0	27.07_30.99	9.05_31.0	21.02_31.01	24.14_31.03	23.07_31.05	25.06_31.04	10.03_31.06	11.05_32.0	22.06_31.98	20.08_32.0	26.09_32.02	27.07_32.01	21.03_32.04	24.06_32.04	12.07_32.05	23.08_32.05	25.06_32.04	28.02_32.06	22.04_32.97	21.02_33.02	25.05_33.02	27.06_33.01	26.05_33.08	24.09_33.04	23.09_33.06	20.08_34.0	22.05_33.99	27.03_34.02	26.07_34.04	21.01_34.07	25.06_34.06	23.11_34.08	24.09_34.07
Vent_Med_White	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vent_Horn	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Vent_Lat_White	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med_Grey	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1
Dors_Horn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Dors_Edge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Med_Lat_White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vent_Edge	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Dors_Med_White	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
Cent_Can	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
