sample_number	level_1	count_file	annotation_file	image_file
1	A	count_tables/01_01.tsv	annotations/01_01.tsv	images/01.jpg
2	A	count_tables/02_01.tsv	annotations/02_01.tsv	images/02.jpg
3	A	count_tables/03_01.tsv	annotations/03_01.tsv	images/03.jpg
4	A	count_tables/04_01.tsv	annotations/04_01.tsv	images/04.jpg
5	B	count_tables/05_01.tsv	annotations/05_01.tsv	images/05.jpg
6	C	count_tables/06_01.tsv	annotations/06_01.tsv	images/06.jpg
7	C	count_tables/07_01.tsv	annotations/07_01.tsv	images/07.jpg
8	D	count_tables/08_01.tsv	annotations/08_01.tsv	images/08.jpg
9	D	count_tables/09_01.tsv	annotations/09_01.tsv	images/09.jpg
10	E	count_tables/10_01.tsv	annotations/10_01.tsv	images/10.jpg
11	E	count_tables/11_01.tsv	annotations/11_01.tsv	images/11.jpg
12	E	count_tables/12_01.tsv	annotations/12_01.tsv	images/12.jpg
